Year,Players ok
1956,Bob Pettit
1957,Bob Cousy
1958,Bill Russell
1959,Bob Pettit 
1960,Wilt Chamberlain
1961,Bill Russell 
1962,Bill Russell 
1963,Bill Russell 
1964,Oscar Robertson
1965,Bill Russell 
1966,Wilt Chamberlain 
1967,Wilt Chamberlain 
1968,Wilt Chamberlain 
1969,Wes Unseld
1970,Willis Reed
1971,Lew Alcindorg
1972,Kareem AbdulJabbarg 
1973,Dave Cowens
1974,Kareem AbdulJabbarg 
1975,Bob McAdoo
1976,Kareem AbdulJabbarg 
1977,Kareem AbdulJabbarg 
1978,Bill Walton
1979,Moses Malone
1980,Kareem AbdulJabbarg 
1981,Julius Erving
1982,Moses Malone 
1983,Moses Malone 
1984,Larry Bird
1985,Larry Bird 
1986,Larry Bird 
1987,Magic Johnson
1988,Michael Jordan
1989,Magic Johnson 
1990,Magic Johnson 
1991,Michael Jordan 
1992,Michael Jordan 
1993,Charles Barkley
1994,Hakeem Olajuwon
1995,David Robinson
1996,Michael Jordan 
1997,Karl Malone
1998,Michael Jordan 
1999,Karl Malone  h
1900,Shaquille ONeal
2001,Allen Iverson
2002,Tim Duncan
2003,Tim Duncan 
2004,Kevin Garnett
2005,Steve Nash
2006,Steve Nash 
2007,Dirk Nowitzki
2008,Kobe Bryant
2009,LeBron James
2010,LeBron James 
2011,Derrick Rose i
2012,LeBron James 
2013,LeBron James 
2014,Kevin Durant
2015,Stephen Curry
2016,Stephen Curry 
2017,Russell Westbrook
2018,James Harden
2019,Giannis Antetokounmpo
